material_id,crystal_system,space_group,theoretical,reduction_limit,oxidation_limit,reduction_reaction,oxidation_reaction,formula_pretty,chemsys,nsites,energy_above_hull,band_gap,is_stable
mp-1211494,Monoclinic,P2_1/c,True,0.28,6.13,4 KLiHoF5 -> 4 KLiHoF5,4 KLiHoF5 -> 2 KHo2F7 + 2 KF3 + 4 Li,KLiHoF5,F-Ho-K-Li,32,0.0,7.38,True
mp-1960,Cubic,Fm-3m,False,0.0,2.88,Li2O -> Li2O,Li2O -> 0.5 Li2O2 + Li,Li2O,Li-O,3,0.0,4.9,True
mp-7137,Orthorhombic,Pnma,False,0.0,2.96,4 LiTbO2 -> 4 LiTbO2,4 LiTbO2 -> Li2O2 + 2 Tb2O3 + 2 Li,LiTbO2,Li-O-Tb,16,0.0,4.55,True
mp-10251,Monoclinic,P2_1/c,False,0.0,2.98,4 LiDyO2 -> 4 LiDyO2,4 LiDyO2 -> Li2O2 + 2 Dy2O3 + 2 Li,LiDyO2,Dy-Li-O,16,0.01,3.96,False
mp-976726,Orthorhombic,Pnma,False,0.0,2.98,4 LiDyO2 -> 4 LiDyO2,4 LiDyO2 -> Li2O2 + 2 Dy2O3 + 2 Li,LiDyO2,Dy-Li-O,16,0.0,4.56,True
mp-30228,Tetragonal,I4_1/a,False,0.0,0.25,2 Li4HN -> 2 Li4HN,2 Li4HN -> 2 Li2HN + 4 Li,Li4HN,H-Li-N,12,0.0,2.07,True
mp-1190809,Tetragonal,I4_1md,False,0.0,0.53,2 Li8TeN2 -> 2 Li8TeN2,2 Li8TeN2 -> 2 Li2Te + 1.333 LiN3 + 10.67 Li,Li8TeN2,Li-N-Te,22,0.0,2.24,True
mp-8926,Tetragonal,P4_2/mnm,False,0.0,0.87,2 Li3BN2 -> 2 Li3BN2,2 Li3BN2 -> 2 BN + 0.6667 LiN3 + 5.333 Li,Li3BN2,B-Li-N,12,0.0,3.45,False
mp-23364,Tetragonal,P4/nmm,False,0.0,4.3,2 CsLiCl2 -> 2 CsLiCl2,2 CsLiCl2 -> Cl2 + 2 CsCl + 2 Li,CsLiCl2,Cl-Cs-Li,8,0.01,5.03,False
mp-568273,Hexagonal,P6_3/mmc,False,0.0,2.84,2 LiI -> 2 LiI,2 LiI -> 2 I + 2 Li,LiI,I-Li,4,0.03,4.23,False
mp-29463,Monoclinic,P2_1/c,False,0.0,0.87,4 LiBeN -> 4 LiBeN,4 LiBeN -> 1.333 Be3N2 + 0.4444 LiN3 + 3.556 Li,LiBeN,Be-Li-N,12,0.0,2.08,True
mp-1147554,Tetragonal,P4/nmm,True,0.0,2.0,2 LiLaSO -> La2SO2 + Li2S,2 LiLaSO -> 2 LaSO + 2 Li,LiLaSO,La-Li-O-S,8,0.01,3.17,False
mp-8001,Trigonal,R-3m,False,0.17,3.48,LiAlO2 -> LiAlO2,LiAlO2 -> 0.09091 Al11O18 + 0.04545 LiO8 + 0.9545 Li,LiAlO2,Al-Li-O,4,0.0,6.12,True
mp-754237,Tetragonal,I4_1/amd,True,0.0,3.04,2 LiTmO2 -> 2 LiTmO2,2 LiTmO2 -> 0.5 Li2O2 + Tm2O3 + Li,LiTmO2,Li-O-Tm,8,0.0,4.32,False
mp-21332,Orthorhombic,Pnma,False,0.0,2.93,4 LiGdO2 -> 4 LiGdO2,4 LiGdO2 -> Li2O2 + 2 Gd2O3 + 2 Li,LiGdO2,Gd-Li-O,16,0.0,3.28,True
mp-1198740,Tetragonal,I4_1/acd,False,0.05,2.88,4 Li7Nd3Zr2O12 -> 4 Li6Zr2O7 + 2 Li2O + 6 Nd2O3,4 Li7Nd3Zr2O12 -> 4 Li6Zr2O7 + Li2O2 + 6 Nd2O3 + 2 Li,Li7Nd3Zr2O12,Li-Nd-O-Zr,96,0.01,4.27,False
mp-1020108,Monoclinic,C2/m,False,0.15,0.83,2 LiCaMgSiN3 -> 0.2222 LiCa3Si2N5 + 0.4444 Li4Ca2Mg(SiN3)2 + 0.4444 CaMg3SiN4 + 0.2222 MgSiN2,2 LiCaMgSiN3 -> 0.5 LiCa3Si2N5 + 0.5 CaMg3SiN4 + 0.5 MgSiN2 + 0.1667 LiN3 + 1.333 Li,LiCaMgSiN3,Ca-Li-Mg-N-Si,14,0.0,2.84,False
mp-1036537,Orthorhombic,Pmmm,True,0.17,3.48,LiMg14AlO16 -> 14 MgO + LiAlO2,LiMg14AlO16 -> 0.04545 LiO8 + 0.09091 Al11O18 + 14 MgO + 0.9545 Li,LiMg14AlO16,Al-Li-Mg-O,32,0.02,4.29,False
mp-1185319,Hexagonal,P6_3mc,True,0.0,4.27,2 LiCl -> 2 LiCl,2 LiCl -> Cl2 + 2 Li,LiCl,Cl-Li,4,0.0,5.74,False
mp-571666,Orthorhombic,Cmcm,True,0.0,4.27,2 CsLi3Cl4 -> 2 CsLiCl2 + 4 LiCl,2 CsLi3Cl4 -> 2 CsLiCl2 + 2 Cl2 + 4 Li,CsLi3Cl4,Cl-Cs-Li,16,0.03,5.27,False
mp-27275,Monoclinic,P2_1/c,False,0.29,3.43,4 Li3BO3 -> 4 Li3BO3,4 Li3BO3 -> Li6B4O9 + 0.375 LiO8 + 5.625 Li,Li3BO3,B-Li-O,28,0.0,5.15,True
mp-28592,Tetragonal,I4/mmm,False,0.0,2.88,Li7Br3O2 -> 2 Li2O + 3 LiBr,Li7Br3O2 -> Li2O2 + 3 LiBr + 2 Li,Li7Br3O2,Br-Li-O,12,0.03,4.25,False
mp-1040126,Tetragonal,P4/mmm,True,0.07,2.88,LiLaMg30O32 -> 0.5 Li2O + 0.5 La2O3 + 30 MgO,LiLaMg30O32 -> 0.25 Li2O2 + 0.5 La2O3 + 30 MgO + 0.5 Li,LiLaMg30O32,La-Li-Mg-O,64,0.05,4.0,False
mp-12645,Monoclinic,P2_1/c,False,0.0,2.96,4 LiHoO2 -> 4 LiHoO2,4 LiHoO2 -> Li2O2 + 2 Ho2O3 + 2 Li,LiHoO2,Ho-Li-O,16,0.0,4.02,True
mp-1211459,Monoclinic,P2_1/c,True,0.28,6.1,4 KLiErF5 -> 4 KErF4 + 4 LiF,4 KLiErF5 -> 2 KEr2F7 + 2 KF2 + 2 LiF + 2 Li,KLiErF5,Er-F-K-Li,32,0.0,7.47,False
mp-10970,Monoclinic,P2_1/c,False,0.0,2.99,4 LiErO2 -> 4 LiErO2,4 LiErO2 -> Li2O2 + 2 Er2O3 + 2 Li,LiErO2,Er-Li-O,16,0.0,4.11,True
mp-755225,Trigonal,R-3,True,0.05,2.88,Li8ZrO6 -> 2.5 Li2O + 0.5 Li6Zr2O7,Li8ZrO6 -> 0.5 Li6Zr2O7 + 1.25 Li2O2 + 2.5 Li,Li8ZrO6,Li-O-Zr,15,0.0,4.55,False
mp-6799,Cubic,Im-3m,False,0.0,1.35,LiCa4(BN2)3 -> LiCa4(BN2)3,LiCa4(BN2)3 -> 0.0625 CaN6 + 1.313 Ca3(BN2)2 + 0.375 BN + Li,LiCa4(BN2)3,B-Ca-Li-N,14,0.0,2.19,True
mp-1080005,Monoclinic,Cm,True,0.0,2.96,Cs3Li2Br5 -> 2 LiBr + 3 CsBr,Cs3Li2Br5 -> CsBr3 + 2 CsBr + 2 Li,Cs3Li2Br5,Br-Cs-Li,10,0.02,4.53,False
mp-15960,Orthorhombic,Pbca,False,0.05,3.01,8 Li5AlO4 -> 8 Li5AlO4,8 Li5AlO4 -> 8 Li2O2 + 8 LiAlO2 + 16 Li,Li5AlO4,Al-Li-O,80,0.0,4.66,True
mp-542435,Cubic,Ia-3,False,0.0,0.59,8 Li3ScN2 -> 8 Li3ScN2,8 Li3ScN2 -> 8 ScN + 2.667 LiN3 + 21.33 Li,Li3ScN2,Li-N-Sc,48,0.0,2.24,True
mp-3887,Cubic,Ia-3,False,0.13,0.77,8 Li3GaN2 -> 8 Li3GaN2,8 Li3GaN2 -> 8 GaN + 2.667 LiN3 + 21.33 Li,Li3GaN2,Ga-Li-N,48,0.0,2.38,True
mp-1020057,Monoclinic,P2_1/c,False,0.0,2.88,4 LiLaO2 -> 2 Li2O + 2 La2O3,4 LiLaO2 -> Li2O2 + 2 La2O3 + 2 Li,LiLaO2,La-Li-O,16,0.02,3.73,False
mp-5914,Tetragonal,I4_1/amd,False,0.0,0.87,4 Li3BN2 -> 4 Li3BN2,4 Li3BN2 -> 4 BN + 1.333 LiN3 + 10.67 Li,Li3BN2,B-Li-N,24,0.0,3.3,False
mp-1211461,Monoclinic,P2_1/c,True,0.29,6.12,4 KLiDyF5 -> 4 KLiDyF5,4 KLiDyF5 -> 2 KDy2F7 + 2 KF2 + 2 LiF + 2 Li,KLiDyF5,Dy-F-K-Li,32,0.0,7.39,True
mp-22905,Cubic,Fm-3m,False,0.0,4.27,LiCl -> LiCl,LiCl -> 0.5 Cl2 + Li,LiCl,Cl-Li,2,0.0,6.25,True
mp-570948,Monoclinic,P2_1/c,False,0.21,0.98,4 LiCaGaN2 -> 4 LiCaGaN2,4 LiCaGaN2 -> Ca3(GaN2)2 + CaN2 + 2 GaN + 4 Li,LiCaGaN2,Ca-Ga-Li-N,20,0.0,2.13,True
mp-699284,Orthorhombic,Imma,True,0.25,0.66,8 Li2HN -> 8 Li2HN,8 Li2HN -> 4 LiH2N + 1.333 LiN3 + 10.67 Li,Li2HN,H-Li-N,32,0.01,2.64,False
mp-1020107,Tetragonal,I4_1/a,False,0.0,0.85,8 LiCaAl3N4 -> 8 LiCaAlN2 + 16 AlN,8 LiCaAl3N4 -> 2 Ca3Al3N5 + 2 CaN2 + 18 AlN + 8 Li,LiCaAl3N4,Al-Ca-Li-N,72,0.01,3.02,False
mp-28549,Hexagonal,P6_3cm,False,0.22,2.93,2 Li8SiO6 -> 2 Li8SiO6,2 Li8SiO6 -> 2 Li2O2 + 2 Li4SiO4 + 4 Li,Li8SiO6,Li-O-Si,30,0.0,4.45,True
mp-675488,Monoclinic,Cm,True,0.0,0.51,Li6I3N -> 0.5 Li7IN2 + 2.5 LiI,Li6I3N -> 3 LiI + 0.3333 LiN3 + 2.667 Li,Li6I3N,I-Li-N,10,0.01,2.36,False
mp-23818,Cubic,Pm-3m,False,0.0,1.24,BaLiH3 -> BaLiH3,BaLiH3 -> 0.5 H2 + BaH2 + Li,BaLiH3,Ba-H-Li,5,0.0,2.21,True
mp-1153,Cubic,Fm-3m,False,0.0,2.14,Li2S -> Li2S,Li2S -> 0.25 LiS4 + 1.75 Li,Li2S,Li-S,3,0.0,3.39,True
mp-569055,Tetragonal,P-4m2,True,0.0,2.35,CsLi2I3 -> 2 LiI + CsI,CsLi2I3 -> CsI3 + 2 Li,CsLi2I3,Cs-I-Li,6,0.02,4.42,False
mp-13944,Cubic,Ia-3,False,0.0,0.79,8 Li3AlN2 -> 8 Li3AlN2,8 Li3AlN2 -> 8 AlN + 2.667 LiN3 + 21.33 Li,Li3AlN2,Al-Li-N,48,0.0,2.94,True
mp-22899,Cubic,Fm-3m,False,0.0,2.84,LiI -> LiI,LiI -> I + Li,LiI,I-Li,2,0.03,4.23,False
mp-23703,Cubic,Fm-3m,False,0.0,0.99,LiH -> LiH,LiH -> 0.5 H2 + Li,LiH,H-Li,2,0.0,2.98,True
mp-569117,Orthorhombic,Immm,True,0.0,4.27,CsLi2Cl3 -> CsLiCl2 + LiCl,CsLi2Cl3 -> CsLiCl2 + 0.5 Cl2 + Li,CsLi2Cl3,Cl-Cs-Li,6,0.01,5.24,False
mp-1038227,Tetragonal,P4/mmm,True,0.17,3.48,LiMg30AlO32 -> 30 MgO + LiAlO2,LiMg30AlO32 -> 0.04545 LiO8 + 0.09091 Al11O18 + 30 MgO + 0.9545 Li,LiMg30AlO32,Al-Li-Mg-O,64,0.01,4.43,False
mp-754162,Monoclinic,P2_1/c,True,0.0,2.93,4 LiGdO2 -> 4 LiGdO2,4 LiGdO2 -> Li2O2 + 2 Gd2O3 + 2 Li,LiGdO2,Gd-Li-O,16,0.01,2.8,False
mp-780259,Tetragonal,P4_2/nmc,True,0.0,2.88,8 Li5LaO4 -> 20 Li2O + 4 La2O3,8 Li5LaO4 -> 10 Li2O2 + 4 La2O3 + 20 Li,Li5LaO4,La-Li-O,80,0.05,3.4,False
mp-1181918,Monoclinic,C2/m,True,0.0,2.35,2 Cs3Li2I5 -> 4 LiI + 6 CsI,2 Cs3Li2I5 -> 2 CsI3 + 4 CsI + 4 Li,Cs3Li2I5,Cs-I-Li,20,0.02,3.74,False
mp-1020031,Monoclinic,P2_1/c,False,0.0,0.85,4 LiCaAlN2 -> 4 LiCaAlN2,4 LiCaAlN2 -> Ca3Al3N5 + CaN2 + AlN + 4 Li,LiCaAlN2,Al-Ca-Li-N,20,0.0,2.78,True
mp-1222355,Monoclinic,P2_1/c,True,0.0,2.88,4 LiNdO2 -> 2 Li2O + 2 Nd2O3,4 LiNdO2 -> Li2O2 + 2 Nd2O3 + 2 Li,LiNdO2,Li-Nd-O,16,0.01,3.66,False
mp-1190687,Orthorhombic,Pbcn,False,0.0,4.27,4 CsLi2Cl3 -> 4 CsLiCl2 + 4 LiCl,4 CsLi2Cl3 -> 4 CsLiCl2 + 2 Cl2 + 4 Li,CsLi2Cl3,Cl-Cs-Li,24,0.0,5.33,True
mp-35822,Triclinic,P1,True,0.26,3.36,2 Li4SiO4 -> 2 Li4SiO4,2 Li4SiO4 -> 2 Li2SiO3 + 0.25 LiO8 + 3.75 Li,Li4SiO4,Li-O-Si,18,0.03,5.09,False
